Inicjalizacja,T0,T_inf,alpha,Kroki,Energia,Akc_end,Akc_corner,Akc_crankshaft
liniowa,10,1,0.999,10000,-2,3391,3213,3091
liniowa,5,1,0.999,10000,-3,3408,3161,3065
liniowa,20,1,0.999,10000,-3,3320,3186,3202
liniowa,10,0.5,0.999,10000,-3,3363,3080,3114
liniowa,10,2,0.999,10000,-2,3355,3242,3186
liniowa,10,1,0.995,10000,-6,3358,3037,3021
liniowa,10,1,0.9999,10000,-2,3430,3273,3257
liniowa,10,1,0.999,5000,-1,1692,1565,1510
liniowa,10,1,0.999,20000,-5,6737,6251,6025
losowa,10,1,0.999,10000,-12,3375,2920,2763
losowa,5,1,0.999,10000,-17,3295,2895,2698
losowa,20,1,0.999,10000,-10,3329,2938,2830
losowa,10,0.5,0.999,10000,-15,3289,2666,2507
losowa,10,2,0.999,10000,-7,3286,3263,3116
losowa,10,1,0.995,10000,-13,3355,2817,2709
losowa,10,1,0.9999,10000,-4,3362,3199,3360
losowa,10,1,0.999,5000,-9,1690,1525,1456
losowa,10,1,0.999,20000,-9,6706,5992,5648
